-1.0	8.0	8.0	0.0	4.0	4.0	12.0	16.0	12.0	0.0	20.0	20.0	0.0	4.0	24.0	4.0	20.0	4.0	12.0	608.0	
4.0	-1.0	8.0	12.0	44.0	8.0	16.0	416.0	8.0	8.0	424.0	12.0	0.0	1060.0	12.0	12.0	12.0	12.0	4.0	0.0	
396.0	12.0	-1.0	24.0	1016.0	16.0	32.0	0.0	16.0	12.0	4.0	20.0	40.0	8.0	16.0	20.0	16.0	4.0	8.0	8.0	
28.0	8.0	28.0	-1.0	12.0	20.0	32.0	16.0	64.0	0.0	12.0	44.0	16.0	24.0	32.0	848.0	152.0	12.0	8.0	16.0	
500.0	4.0	856.0	28.0	-1.0	16.0	12.0	8.0	20.0	20.0	16.0	20.0	36.0	4.0	12.0	24.0	36.0	8.0	4.0	12.0	
4.0	24.0	28.0	24.0	8.0	-1.0	720.0	12.0	668.0	8.0	4.0	460.0	12.0	20.0	12.0	12.0	16.0	4.0	16.0	12.0	
24.0	4.0	8.0	28.0	4.0	4.0	-1.0	4.0	1044.0	8.0	8.0	820.0	8.0	8.0	16.0	40.0	8.0	4.0	12.0	12.0	
8.0	12.0	644.0	4.0	540.0	28.0	0.0	-1.0	12.0	0.0	1008.0	8.0	4.0	12.0	16.0	4.0	8.0	8.0	4.0	16.0	
0.0	4.0	4.0	24.0	8.0	12.0	908.0	16.0	-1.0	12.0	4.0	856.0	8.0	4.0	8.0	28.0	8.0	8.0	8.0	0.0	
8.0	4.0	12.0	4.0	8.0	28.0	12.0	4.0	8.0	-1.0	4.0	4.0	16.0	12.0	4.0	4.0	12.0	576.0	8.0	8.0	
20.0	20.0	620.0	4.0	524.0	32.0	8.0	1072.0	20.0	16.0	-1.0	8.0	28.0	24.0	20.0	8.0	16.0	8.0	12.0	12.0	
16.0	12.0	16.0	16.0	20.0	16.0	300.0	8.0	464.0	4.0	4.0	-1.0	12.0	24.0	80.0	20.0	28.0	8.0	12.0	12.0	
68.0	32.0	32.0	744.0	24.0	12.0	12.0	0.0	28.0	8.0	8.0	36.0	-1.0	36.0	28.0	848.0	32.0	8.0	4.0	28.0	
16.0	908.0	12.0	12.0	52.0	8.0	12.0	452.0	16.0	4.0	492.0	16.0	8.0	-1.0	16.0	12.0	20.0	4.0	8.0	16.0	
8.0	8.0	8.0	4.0	8.0	28.0	24.0	8.0	20.0	640.0	8.0	16.0	4.0	16.0	-1.0	20.0	8.0	808.0	12.0	4.0	
20.0	16.0	24.0	1032.0	16.0	16.0	20.0	12.0	48.0	8.0	20.0	76.0	288.0	20.0	32.0	-1.0	80.0	12.0	8.0	8.0	
16.0	4.0	32.0	16.0	16.0	36.0	28.0	12.0	52.0	0.0	20.0	24.0	4.0	28.0	24.0	8.0	-1.0	8.0	8.0	20.0	
4.0	16.0	4.0	4.0	8.0	16.0	12.0	4.0	8.0	904.0	4.0	16.0	20.0	32.0	184.0	16.0	28.0	-1.0	8.0	12.0	
48.0	20.0	16.0	388.0	8.0	12.0	0.0	8.0	12.0	0.0	20.0	16.0	732.0	16.0	32.0	492.0	20.0	8.0	-1.0	4.0	
8.0	4.0	0.0	4.0	0.0	4.0	8.0	0.0	4.0	16.0	4.0	4.0	64.0	8.0	0.0	4.0	16.0	4.0	428.0	-1.0	
